19:58:50.492 [main] ERROR com.stormpath.App - Enter...
19:58:50.497 [main] INFO  com.stormpath.service.ServiceProvider - Enter...setContext()
20:00:27.282 [main] INFO  com.stormpath.service.PasswordValidator - validating rule: Password must not contain any sequence of characters immediately followed by the same sequence
20:00:27.282 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validateCustom: customized rule: Password must not contain any sequence of characters immediately followed by the same sequence, password: 3214321400a
20:00:27.282 [main] INFO  com.stormpath.service.PasswordValidator - Password is: bad
20:00:46.576 [main] ERROR com.stormpath.App - Enter...
20:00:46.582 [main] INFO  com.stormpath.service.ServiceProvider - Enter...setContext()
20:00:46.800 [main] INFO  com.stormpath.service.ServiceProvider - Enter...setRootLogLevel...setting logs
20:00:46.800 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getPasswordValidator()
20:00:46.801 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validate::password: 3214321400a
20:00:46.801 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getRuleMgr()
20:00:46.805 [main] INFO  com.stormpath.service.PasswordRuleMgr - ...loading default rules...
20:00:46.805 [main] INFO  com.stormpath.service.PasswordRuleMgr - rule file:rules
20:00:46.805 [main] INFO  com.stormpath.service.PasswordRuleMgr - Password must not contain any sequence of characters immediately followed by the same sequence: custom
20:00:46.805 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...addRule:msg: Password must not contain any sequence of characters immediately followed by the same sequence, rule: custom
20:00:46.806 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validate::mgr: com.stormpath.service.PasswordRuleMgr@2c53cfe3password: 3214321400a
20:00:46.806 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...getRuleMap
20:00:46.806 [main] INFO  com.stormpath.service.PasswordValidator - validating rule: Password must not contain any sequence of characters immediately followed by the same sequence
20:00:46.806 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validateCustom: customized rule: Password must not contain any sequence of characters immediately followed by the same sequence, password: 3214321400a
20:00:46.806 [main] INFO  com.stormpath.service.PasswordValidator - Password is: bad
20:02:43.943 [main] ERROR com.stormpath.App - Enter...
20:02:43.949 [main] INFO  com.stormpath.service.ServiceProvider - Enter...setContext()
20:02:44.191 [main] INFO  com.stormpath.service.ServiceProvider - Enter...setRootLogLevel...setting logs
20:02:44.191 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getPasswordValidator()
20:02:44.191 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validate::password: 3214321400a
20:02:44.191 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getRuleMgr()
20:02:44.194 [main] INFO  com.stormpath.service.PasswordRuleMgr - ...loading default rules...
20:02:44.194 [main] INFO  com.stormpath.service.PasswordRuleMgr - rule file:rules
20:02:44.195 [main] INFO  com.stormpath.service.PasswordRuleMgr - Password must not contain any sequence of characters immediately followed by the same sequence: custom
20:02:44.195 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...addRule:msg: Password must not contain any sequence of characters immediately followed by the same sequence, rule: custom
20:02:44.196 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validate::mgr: com.stormpath.service.PasswordRuleMgr@2c53cfe3password: 3214321400a
20:02:44.196 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...getRuleMap
20:02:44.196 [main] INFO  com.stormpath.service.PasswordValidator - validating rule: Password must not contain any sequence of characters immediately followed by the same sequence
20:02:44.196 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validateCustom: customized rule: Password must not contain any sequence of characters immediately followed by the same sequence, password: 3214321400a
20:02:44.196 [main] INFO  com.stormpath.service.PasswordValidator - Password is: bad
20:02:44.498 [main] ERROR com.stormpath.App - Enter...
20:02:44.504 [main] INFO  com.stormpath.service.ServiceProvider - Enter...setContext()
20:02:44.755 [main] INFO  com.stormpath.service.ServiceProvider - Enter...setRootLogLevel...setting logs
20:02:44.755 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getPasswordValidator()
20:02:44.755 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validate::password: 3214321400a
20:02:44.755 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getRuleMgr()
20:02:44.758 [main] INFO  com.stormpath.service.PasswordRuleMgr - ...loading default rules...
20:02:44.758 [main] INFO  com.stormpath.service.PasswordRuleMgr - rule file:rules
20:02:44.759 [main] INFO  com.stormpath.service.PasswordRuleMgr - Password must not contain any sequence of characters immediately followed by the same sequence: custom
20:02:44.759 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...addRule:msg: Password must not contain any sequence of characters immediately followed by the same sequence, rule: custom
20:02:44.760 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validate::mgr: com.stormpath.service.PasswordRuleMgr@16090d7apassword: 3214321400a
20:02:44.760 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...getRuleMap
20:02:44.760 [main] INFO  com.stormpath.service.PasswordValidator - validating rule: Password must not contain any sequence of characters immediately followed by the same sequence
20:02:44.760 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validateCustom: customized rule: Password must not contain any sequence of characters immediately followed by the same sequence, password: 3214321400a
20:02:44.760 [main] INFO  com.stormpath.service.PasswordValidator - Password is: bad
20:04:37.972 [main] ERROR com.stormpath.App - Enter...
20:04:37.978 [main] INFO  com.stormpath.service.ServiceProvider - Enter...setContext()
20:04:38.195 [main] INFO  com.stormpath.service.ServiceProvider - Enter...setRootLogLevel...setting logs
20:04:38.195 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getPasswordValidator()
20:04:38.195 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validate::password: 3214321400a
20:04:38.195 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getRuleMgr()
20:04:38.198 [main] INFO  com.stormpath.service.PasswordRuleMgr - ...loading default rules...
20:04:38.198 [main] INFO  com.stormpath.service.PasswordRuleMgr - rule file:rules
20:04:38.199 [main] INFO  com.stormpath.service.PasswordRuleMgr - Password must not contain any sequence of characters immediately followed by the same sequence: custom
20:04:38.199 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...addRule:msg: Password must not contain any sequence of characters immediately followed by the same sequence, rule: custom
20:04:38.199 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validate::mgr: com.stormpath.service.PasswordRuleMgr@4fcb6cpassword: 3214321400a
20:04:38.199 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...getRuleMap
20:04:38.200 [main] INFO  com.stormpath.service.PasswordValidator - validating rule: Password must not contain any sequence of characters immediately followed by the same sequence
20:04:38.200 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validateCustom: customized rule: Password must not contain any sequence of characters immediately followed by the same sequence, password: 3214321400a
20:04:38.200 [main] INFO  com.stormpath.service.PasswordValidator - Password is: bad
20:05:09.301 [main] ERROR com.stormpath.App - Enter...
20:05:09.306 [main] INFO  com.stormpath.service.ServiceProvider - Enter...setContext()
20:05:09.516 [main] INFO  com.stormpath.service.ServiceProvider - Enter...setRootLogLevel...setting logs
20:05:09.516 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getPasswordValidator()
20:05:09.517 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validate::password: 3214321400a
20:05:09.517 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getRuleMgr()
20:05:09.520 [main] INFO  com.stormpath.service.PasswordRuleMgr - ...loading default rules...
20:05:09.520 [main] INFO  com.stormpath.service.PasswordRuleMgr - rule file:rules
20:05:09.520 [main] INFO  com.stormpath.service.PasswordRuleMgr - Password must not contain any sequence of characters immediately followed by the same sequence: custom
20:05:09.520 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...addRule:msg: Password must not contain any sequence of characters immediately followed by the same sequence, rule: custom
20:05:09.521 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validate::mgr: com.stormpath.service.PasswordRuleMgr@16090d7apassword: 3214321400a
20:05:09.521 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...getRuleMap
20:05:09.521 [main] INFO  com.stormpath.service.PasswordValidator - validating rule: Password must not contain any sequence of characters immediately followed by the same sequence
20:05:09.521 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validateCustom: customized rule: Password must not contain any sequence of characters immediately followed by the same sequence, password: 3214321400a
20:05:09.521 [main] INFO  com.stormpath.service.PasswordValidator - Password is: bad
20:05:41.717 [main] ERROR com.stormpath.App - Enter...
20:05:41.722 [main] INFO  com.stormpath.service.ServiceProvider - Enter...setContext()
20:05:41.935 [main] INFO  com.stormpath.service.ServiceProvider - Enter...setRootLogLevel...setting logs
20:05:41.935 [main] INFO  com.stormpath.service.ServiceProvider - Debug log is on.
20:05:41.935 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getPasswordValidator()
20:05:41.935 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validate::password: 3214321400a
20:05:41.935 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getRuleMgr()
20:05:41.938 [main] INFO  com.stormpath.service.PasswordRuleMgr - ...loading default rules...
20:05:41.938 [main] INFO  com.stormpath.service.PasswordRuleMgr - rule file:rules
20:05:41.939 [main] INFO  com.stormpath.service.PasswordRuleMgr - Password must not contain any sequence of characters immediately followed by the same sequence: custom
20:05:41.939 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...addRule:msg: Password must not contain any sequence of characters immediately followed by the same sequence, rule: custom
20:05:41.940 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validate::mgr: com.stormpath.service.PasswordRuleMgr@2c53cfe3password: 3214321400a
20:05:41.940 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...getRuleMap
20:05:41.940 [main] INFO  com.stormpath.service.PasswordValidator - validating rule: Password must not contain any sequence of characters immediately followed by the same sequence
20:05:41.940 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validateCustom: customized rule: Password must not contain any sequence of characters immediately followed by the same sequence, password: 3214321400a
20:05:41.940 [main] INFO  com.stormpath.service.PasswordValidator - Password is: bad
20:21:53.832 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validate::password: 00
20:21:53.833 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getRuleMgr()
20:21:53.870 [main] INFO  com.stormpath.service.PasswordRuleMgr - ...loading default rules...
20:21:53.870 [main] INFO  com.stormpath.service.PasswordRuleMgr - rule file:rules
20:21:53.872 [main] INFO  com.stormpath.service.PasswordRuleMgr - Password must not contain any sequence of characters immediately followed by the same sequence: custom
20:21:53.872 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...addRule:msg: Password must not contain any sequence of characters immediately followed by the same sequence, rule: custom
20:21:53.872 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validate::mgr: com.stormpath.service.PasswordRuleMgr@a7bc768password: 00
20:21:53.872 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...getRuleMap
20:21:53.872 [main] INFO  com.stormpath.service.PasswordValidator - validating rule: Password must not contain any sequence of characters immediately followed by the same sequence
20:21:53.872 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validateCustom: customized rule: Password must not contain any sequence of characters immediately followed by the same sequence, password: 00
20:21:53.872 [main] INFO  com.stormpath.service.PasswordValidator - Password is: bad
20:27:13.364 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validate::password: 01a10ba
20:27:13.365 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getRuleMgr()
20:27:13.400 [main] INFO  com.stormpath.service.PasswordRuleMgr - ...loading default rules...
20:27:13.400 [main] INFO  com.stormpath.service.PasswordRuleMgr - rule file:rules
20:27:13.401 [main] INFO  com.stormpath.service.PasswordRuleMgr - Password must not contain any sequence of characters immediately followed by the same sequence: custom
20:27:13.401 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...addRule:msg: Password must not contain any sequence of characters immediately followed by the same sequence, rule: custom
20:27:13.402 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validate::mgr: com.stormpath.service.PasswordRuleMgr@44608238password: 01a10ba
20:27:13.402 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...getRuleMap
20:27:13.402 [main] INFO  com.stormpath.service.PasswordValidator - validating rule: Password must not contain any sequence of characters immediately followed by the same sequence
20:27:13.402 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validateCustom: customized rule: Password must not contain any sequence of characters immediately followed by the same sequence, password: 01a10ba
20:27:13.402 [main] INFO  com.stormpath.service.PasswordValidator - Password is: good
20:35:48.270 [main] INFO  com.stormpath.service.ServiceProviderTest - Start testGetPasswordValidator()...
20:35:48.271 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getPasswordValidator()
20:35:48.302 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getPasswordValidator()
20:35:48.302 [main] INFO  com.stormpath.service.ServiceProvider - Enter...setContext()
20:35:48.329 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getRuleMgr()
20:35:48.332 [main] INFO  com.stormpath.service.PasswordRuleMgr - ...loading default rules...
20:35:48.332 [main] INFO  com.stormpath.service.PasswordRuleMgr - rule file:rules
20:35:48.333 [main] INFO  com.stormpath.service.PasswordRuleMgr - Password must not contain any sequence of characters immediately followed by the same sequence: custom
20:35:48.333 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...addRule:msg: Password must not contain any sequence of characters immediately followed by the same sequence, rule: custom
20:35:48.333 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getRuleMgr()
20:35:48.333 [main] INFO  com.stormpath.service.PasswordRuleMgr - ...loading default rules...
20:35:48.333 [main] INFO  com.stormpath.service.PasswordRuleMgr - rule file:rules
20:35:48.333 [main] INFO  com.stormpath.service.PasswordRuleMgr - Password must not contain any sequence of characters immediately followed by the same sequence: custom
20:35:48.333 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...addRule:msg: Password must not contain any sequence of characters immediately followed by the same sequence, rule: custom
20:35:48.334 [main] INFO  com.stormpath.service.ServiceProviderTest - Finished... testGetPasswordValidator()...
20:35:48.335 [main] INFO  com.stormpath.service.ServiceProviderTest - Start testGetRuleMgr()...
20:35:48.335 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getRuleMgr()
20:35:48.335 [main] INFO  com.stormpath.service.PasswordRuleMgr - ...loading default rules...
20:35:48.335 [main] INFO  com.stormpath.service.PasswordRuleMgr - rule file:rules
20:35:48.335 [main] INFO  com.stormpath.service.PasswordRuleMgr - Password must not contain any sequence of characters immediately followed by the same sequence: custom
20:35:48.335 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...addRule:msg: Password must not contain any sequence of characters immediately followed by the same sequence, rule: custom
20:35:48.335 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getRuleMgr()
20:35:48.335 [main] INFO  com.stormpath.service.PasswordRuleMgr - ...loading default rules...
20:35:48.335 [main] INFO  com.stormpath.service.PasswordRuleMgr - rule file:rules
20:35:48.335 [main] INFO  com.stormpath.service.PasswordRuleMgr - Password must not contain any sequence of characters immediately followed by the same sequence: custom
20:35:48.336 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...addRule:msg: Password must not contain any sequence of characters immediately followed by the same sequence, rule: custom
20:35:48.336 [main] INFO  com.stormpath.service.ServiceProvider - Enter...setContext()
20:35:48.358 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getRuleMgr()
20:35:48.359 [main] INFO  com.stormpath.service.PasswordRuleMgr - ...loading default rules...
20:35:48.359 [main] INFO  com.stormpath.service.PasswordRuleMgr - rule file:rules
20:35:48.359 [main] INFO  com.stormpath.service.PasswordRuleMgr - Password must not contain any sequence of characters immediately followed by the same sequence: custom
20:35:48.359 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...addRule:msg: Password must not contain any sequence of characters immediately followed by the same sequence, rule: custom
20:35:48.359 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getRuleMgr()
20:35:48.359 [main] INFO  com.stormpath.service.PasswordRuleMgr - ...loading default rules...
20:35:48.359 [main] INFO  com.stormpath.service.PasswordRuleMgr - rule file:rules
20:35:48.359 [main] INFO  com.stormpath.service.PasswordRuleMgr - Password must not contain any sequence of characters immediately followed by the same sequence: custom
20:35:48.359 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...addRule:msg: Password must not contain any sequence of characters immediately followed by the same sequence, rule: custom
20:35:48.359 [main] INFO  com.stormpath.service.ServiceProviderTest - Finished... testGetRuleMgr()...
20:36:47.493 [main] INFO  com.stormpath.service.ServiceProviderTest - Start testGetPasswordValidator()...
20:36:47.494 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getPasswordValidator()
20:36:47.525 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getPasswordValidator()
20:36:47.525 [main] INFO  com.stormpath.service.ServiceProvider - Enter...setContext()
20:36:47.551 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getRuleMgr()
20:36:47.554 [main] INFO  com.stormpath.service.PasswordRuleMgr - ...loading default rules...
20:36:47.554 [main] INFO  com.stormpath.service.PasswordRuleMgr - rule file:rules
20:36:47.555 [main] INFO  com.stormpath.service.PasswordRuleMgr - Password must not contain any sequence of characters immediately followed by the same sequence: custom
20:36:47.555 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...addRule:msg: Password must not contain any sequence of characters immediately followed by the same sequence, rule: custom
20:36:47.556 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getRuleMgr()
20:36:47.556 [main] INFO  com.stormpath.service.PasswordRuleMgr - ...loading default rules...
20:36:47.556 [main] INFO  com.stormpath.service.PasswordRuleMgr - rule file:rules
20:36:47.556 [main] INFO  com.stormpath.service.PasswordRuleMgr - Password must not contain any sequence of characters immediately followed by the same sequence: custom
20:36:47.556 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...addRule:msg: Password must not contain any sequence of characters immediately followed by the same sequence, rule: custom
20:36:47.556 [main] INFO  com.stormpath.service.ServiceProviderTest - Finished... testGetPasswordValidator()...
20:36:47.558 [main] INFO  com.stormpath.service.ServiceProviderTest - Start testGetRuleMgr()...
20:36:47.558 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getRuleMgr()
20:36:47.558 [main] INFO  com.stormpath.service.PasswordRuleMgr - ...loading default rules...
20:36:47.558 [main] INFO  com.stormpath.service.PasswordRuleMgr - rule file:rules
20:36:47.558 [main] INFO  com.stormpath.service.PasswordRuleMgr - Password must not contain any sequence of characters immediately followed by the same sequence: custom
20:36:47.558 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...addRule:msg: Password must not contain any sequence of characters immediately followed by the same sequence, rule: custom
20:36:47.558 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getRuleMgr()
20:36:47.558 [main] INFO  com.stormpath.service.PasswordRuleMgr - ...loading default rules...
20:36:47.558 [main] INFO  com.stormpath.service.PasswordRuleMgr - rule file:rules
20:36:47.558 [main] INFO  com.stormpath.service.PasswordRuleMgr - Password must not contain any sequence of characters immediately followed by the same sequence: custom
20:36:47.558 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...addRule:msg: Password must not contain any sequence of characters immediately followed by the same sequence, rule: custom
20:36:47.558 [main] INFO  com.stormpath.service.ServiceProvider - Enter...setContext()
20:36:47.582 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getRuleMgr()
20:36:47.582 [main] INFO  com.stormpath.service.PasswordRuleMgr - ...loading default rules...
20:36:47.582 [main] INFO  com.stormpath.service.PasswordRuleMgr - rule file:rules
20:36:47.582 [main] INFO  com.stormpath.service.PasswordRuleMgr - Password must not contain any sequence of characters immediately followed by the same sequence: custom
20:36:47.582 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...addRule:msg: Password must not contain any sequence of characters immediately followed by the same sequence, rule: custom
20:36:47.583 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getRuleMgr()
20:36:47.583 [main] INFO  com.stormpath.service.PasswordRuleMgr - ...loading default rules...
20:36:47.583 [main] INFO  com.stormpath.service.PasswordRuleMgr - rule file:rules
20:36:47.583 [main] INFO  com.stormpath.service.PasswordRuleMgr - Password must not contain any sequence of characters immediately followed by the same sequence: custom
20:36:47.583 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...addRule:msg: Password must not contain any sequence of characters immediately followed by the same sequence, rule: custom
20:36:47.583 [main] INFO  com.stormpath.service.ServiceProviderTest - Finished... testGetRuleMgr()...
20:47:01.009 [main] INFO  com.stormpath.service.PasswordRuleMgr - ...loading default rules...
20:47:01.010 [main] INFO  com.stormpath.service.PasswordRuleMgr - rule file:0
20:47:17.902 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getRuleMgr()
20:47:18.097 [main] INFO  com.stormpath.service.PasswordRuleMgr - ...loading default rules...
20:47:18.097 [main] INFO  com.stormpath.service.PasswordRuleMgr - rule file:rules
20:47:18.099 [main] INFO  com.stormpath.service.PasswordRuleMgr - Password must not contain any sequence of characters immediately followed by the same sequence: custom
20:47:18.099 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...addRule:msg: Password must not contain any sequence of characters immediately followed by the same sequence, rule: custom
20:47:18.196 [main] INFO  com.stormpath.service.PasswordRuleMgr - ...loading default rules...
20:47:18.196 [main] INFO  com.stormpath.service.PasswordRuleMgr - rule file:rules
20:47:18.196 [main] INFO  com.stormpath.service.PasswordRuleMgr - Password must not contain any sequence of characters immediately followed by the same sequence: custom
20:47:18.196 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...addRule:msg: Password must not contain any sequence of characters immediately followed by the same sequence, rule: custom
20:47:18.197 [main] ERROR com.stormpath.service.PasswordRuleMgr - This rule already exists!!
20:47:18.197 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...getRuleMap
20:58:42.862 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getRuleMgr()
20:58:43.063 [main] INFO  com.stormpath.service.PasswordRuleMgr - ...loading default rules...
20:58:43.063 [main] INFO  com.stormpath.service.PasswordRuleMgr - rule file:rules
20:58:43.065 [main] INFO  com.stormpath.service.PasswordRuleMgr - Password must not contain any sequence of characters immediately followed by the same sequence: custom
20:58:43.065 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...addRule:msg: Password must not contain any sequence of characters immediately followed by the same sequence, rule: custom
20:58:43.164 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...getRuleMap
20:58:43.165 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...getRuleMap
20:59:01.908 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getRuleMgr()
20:59:02.099 [main] INFO  com.stormpath.service.PasswordRuleMgr - ...loading default rules...
20:59:02.099 [main] INFO  com.stormpath.service.PasswordRuleMgr - rule file:rules
20:59:02.100 [main] INFO  com.stormpath.service.PasswordRuleMgr - Password must not contain any sequence of characters immediately followed by the same sequence: custom
